i	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
106	27	统招本科	5-10年	30-50k·14薪	2018年11月15日	ui设计师		华为	https://www.liepin.com/job/1917127965.shtml	https://www.liepin.com/company/954482/	2	2018互联网300强	界面设计	2
107	28	统招本科	3-5年	8-12k·12薪	2018年10月19日	ui设计师	北京-来广营	猎聘	https://www.liepin.com/job/1917164581.shtml	https://www.liepin.com/company/7873694/	2	2018互联网300强	界面设计	2
108	29	学历不限	经验不限	10-20k·13薪	2020年02月26日	资深UI设计师	武汉-粮道街	广州多益网络股份有限公司	https://www.liepin.com/job/1913640952.shtml	https://www.liepin.com/company/8142995/	2	2018互联网300强	界面设计	2
109	30	学历不限	经验不限	10-20k·13薪	2020年02月26日	资深UI设计师	成都-高新区	广州多益网络股份有限公司	https://www.liepin.com/job/1913640902.shtml	https://www.liepin.com/company/8142995/	2	2018互联网300强	界面设计	2
110	31	学历不限	经验不限	10-20k·13薪	2020年02月26日	资深UI设计师	广州	广州多益网络股份有限公司	https://www.liepin.com/job/1913640838.shtml	https://www.liepin.com/company/8142995/	2	2018互联网300强	界面设计	2
111	32	本科及以上	1-3年	面议	2019年10月22日	高级UI设计师	杭州	贝贝集团	https://www.liepin.com/job/1924286869.shtml	https://www.liepin.com/company/6673968/	2	2018互联网300强	界面设计	2
112	33	学历不限	经验不限	6-12k·13薪	2020年02月26日	软件UI设计师	广州	广州多益网络股份有限公司	https://www.liepin.com/job/199789518.shtml	https://www.liepin.com/company/8142995/	2	2018互联网300强	界面设计	2
113	34	学历不限	经验不限	面议	2019年12月12日	资深UI设计师		小米	https://www.liepin.com/job/1915629562.shtml	https://www.liepin.com/company/2174886/	2	2018互联网300强	界面设计	2
114	35	本科及以上	3-5年	12-20k·12薪	2018年12月25日	高级ui设计师	广州	蜜莱坞网络	https://www.liepin.com/job/1916416027.shtml	https://www.liepin.com/company/8488417/	2	2018互联网300强	界面设计	2
115	36	统招本科	5-10年	20-40k·12薪	2020年03月27日	高级UI设计师	北京	小米	https://www.liepin.com/job/1924591809.shtml	https://www.liepin.com/company/2174886/	2	2018互联网300强	界面设计	2
116	37	本科及以上	1-3年	3-6k·12薪	2020年03月26日	ui设计实习生		滴滴	https://www.liepin.com/job/1926982281.shtml	https://www.liepin.com/company/8076624/	2	2018互联网300强	界面设计	2
117	38	本科及以上	经验不限	2-3k·12薪	2019年12月03日	UI设计实习生	北京	Baidu	https://www.liepin.com/job/1922770243.shtml	https://www.liepin.com/company/884492/	2	2018互联网300强	界面设计	2
118	39	本科及以上	3-5年	15-25k·12薪	2019年10月28日	UI视觉设计师	北京-西北旺	Baidu	https://www.liepin.com/job/1924397279.shtml	https://www.liepin.com/company/884492/	2	2018互联网300强	界面设计	2
119	40	大专及以上	3-5年	15-30k·14薪	2019年10月15日	高级UI设计师	北京	麒麟合盛网络技术股份有限公司	https://www.liepin.com/job/1924129351.shtml	https://www.liepin.com/company/8454950/	2	2018互联网300强	界面设计	2
120	1	本科及以上	3-5年	15-30k·12薪	2019年10月12日	UI设计师08241040	北京	京东数字科技控股有限公司	https://www.liepin.com/job/1915288668.shtml	https://www.liepin.com/company/215535/	3	2018互联网300强	界面设计	3
121	2	统招本科	1-3年	面议	2020年03月27日	高级ui设计师	上海	携程	https://www.liepin.com/job/1923697169.shtml	https://www.liepin.com/company/182339/	3	2018互联网300强	界面设计	3
122	3	统招本科	3-5年	面议	2020年02月10日	高级UI设计师	北京	Baidu	https://www.liepin.com/job/1925990903.shtml	https://www.liepin.com/company/884492/	3	2018互联网300强	界面设计	3
123	4	统招本科	3-5年	15-30k·12薪	2020年02月07日	UI视觉设计师	北京	Baidu	https://www.liepin.com/job/1925968861.shtml	https://www.liepin.com/company/884492/	3	2018互联网300强	界面设计	3
124	5	本科及以上	1-3年	15-25k·12薪	2020年02月05日	资深ui设计师	北京	京东商城	https://www.liepin.com/job/1923976331.shtml	https://www.liepin.com/company/9747025/	3	2018互联网300强	界面设计	3
125	6	统招本科	5-10年	面议	2019年10月22日	资深UI设计师	上海-徐汇区	SenseTime（商汤集团）	https://www.liepin.com/job/1922989193.shtml	https://www.liepin.com/company/8349238/	3	2018互联网300强	界面设计	3
126	7	统招本科	经验不限	面议	2019年09月19日	视频资深UI设计		华为	https://www.liepin.com/job/1923551155.shtml	https://www.liepin.com/company/954482/	3	2018互联网300强	界面设计	3
127	8	本科及以上	5-10年	30-50k·14薪	2019年07月06日	资深ui设计师	北京-来广营	猎聘	https://www.liepin.com/job/1921281613.shtml	https://www.liepin.com/company/9616481/	3	2018互联网300强	界面设计	3
128	9	本科及以上	5-10年	20-30k·14薪	2020年03月20日	高级ui设计师	北京	小米	https://www.liepin.com/job/1926836735.shtml	https://www.liepin.com/company/2174886/	3	2018互联网300强	界面设计	3
129	10	本科及以上	1-3年	15-25k·12薪	2019年12月12日	UI界面视觉设计	北京-清河	小米	https://www.liepin.com/job/1921984275.shtml	https://www.liepin.com/company/2174886/	3	2018互联网300强	界面设计	3
130	11	本科及以上	3-5年	10-20k·12薪	2019年05月14日	资深UI设计师	北京-马连洼	新浪	https://www.liepin.com/job/1918296889.shtml	https://www.liepin.com/company/6527404/	3	2018互联网300强	界面设计	3
