	i	sn	stats_code	size_htm
323	323	1916027231	200	96481
324	324	1916040097	200	102543
325	325	1916040673	200	98810
326	326	1916043703	200	98445
327	327	1916045373	200	99514
328	328	1916045379	200	99228
329	329	1916063675	200	98923
330	330	1916084929	200	94711
331	331	1916098669	200	94449
332	332	1916106853	200	95168
333	333	1916108675	200	98208
334	334	1916114455	200	95001
335	335	1916114641	200	94389
336	336	1916126995	200	95087
337	337	1916136373	200	96527
338	338	1916141319	200	98960
339	339	1916147211	200	97776
340	340	1916155209	200	96533
341	341	1916173061	200	82671
342	342	1916188049	200	96741
343	343	1916189077	200	100090
344	344	1916191549	200	97097
345	345	1916206855	200	95055
346	346	1916218645	200	96269
347	347	1916223243	200	98978
348	348	1916233299	200	81177
349	349	1916241831	200	96834
350	350	1916255573	200	94245
351	351	1916255729	200	97269
352	352	1916255731	200	97311
353	353	1916257457	200	97203
354	354	1916257491	200	99534
355	355	1916279031	200	98374
356	356	1916279033	200	98877
357	357	1916279221	200	99527
358	358	1916286035	200	98311
359	359	1916288671	200	94134
360	360	1916295153	200	98468
361	361	1916315509	200	100127
362	362	1916320357	200	93502
363	363	1916322555	200	95941
364	364	1916322831	200	98741
365	365	1916325433	200	103553
366	366	1916327179	200	100965
367	367	1916333153	200	95122
368	368	1916339729	200	98920
369	369	1916340143	200	98905
370	370	1916340317	200	89157
371	371	1916342437	200	103118
372	372	1916346399	200	97643
373	373	1916347089	200	99969
374	374	1916347249	200	99635
375	375	1916348663	200	97847
376	376	1916356251	200	101099
377	377	1916356795	200	97078
378	378	1916371039	200	99725
379	379	1916371057	200	95467
380	380	1916374147	200	92060
381	381	1916388731	200	102581
382	382	1916390189	200	94965
383	383	1916390299	200	101642
384	384	1916391825	200	99879
385	385	1916395411	200	97260
386	386	1916397787	200	99870
387	387	1916398985	200	97084
388	388	1916401813	200	102517
389	389	1916413445	200	75468
390	390	1916416027	200	94192
391	391	1916416157	200	95220
392	392	1916418631	200	97755
393	393	1916418799	200	97690
394	394	1916437979	200	99908
395	395	1916437981	200	99867
396	396	1916438623	200	97743
397	397	1916439589	200	98755
398	398	1916439975	200	93903
399	399	1916451151	200	97223
400	400	1916452201	200	96570
401	401	1916453043	200	94755
402	402	1916462867	200	96768
403	403	1916462905	200	98514
404	404	1916466925	200	97324
405	405	1916470581	200	96664
406	406	1916473349	200	99268
407	407	1916480033	200	95574
408	408	1916480873	200	101772
409	409	1916483855	200	74840
410	410	1916491157	200	95174
411	411	1916491159	200	96339
412	412	1916491161	200	95672
413	413	1916491163	200	96315
414	414	1916496153	200	92276
415	415	1916506239	200	90256
416	416	1916506241	200	88136
417	417	1916507039	200	94852
418	418	1916526751	200	79549
419	419	1916532395	200	98098
420	420	1916532947	200	98728
421	421	1916541273	200	93920
422	422	1916542745	200	100815
423	423	1916553389	200	97143
424	424	1916553425	200	97140
425	425	1916557667	200	103013
426	426	1916558967	200	100853
427	427	1916562967	200	96180
428	428	1916563107	200	89872
429	429	1916564063	200	98529
430	430	1916570323	200	94103
431	431	1916576503	200	99195
432	432	1916606149	200	92473
433	433	1916621337	200	79123
434	434	1916622539	200	94510
435	435	1916636419	200	98663
436	436	1916636751	200	97671
437	437	1916637653	200	97342
438	438	1916643147	200	94889
439	439	1916644871	200	98440
440	440	1916644873	200	98865
441	441	1916644875	200	98872
442	442	1916644877	200	99105
443	443	1916647811	200	99136
444	444	1916654629	200	92507
445	445	1916667279	200	95538
446	446	1916671129	200	97885
447	447	1916673325	200	91288
448	448	1916679593	200	94512
449	449	1916681335	200	99763
450	450	1916688595	200	90818
451	451	1916689569	200	93813
452	452	1916717463	200	100514
453	453	1916725051	200	88838
454	454	1916744741	200	95808
455	455	1916744913	200	95165
456	456	1916763945	200	93892
457	457	1916768339	200	91936
458	458	1916774669	200	100712
459	459	1916780747	200	98869
460	460	1916781927	200	98579
461	461	1916783487	200	98284
462	462	1916788687	200	99994
463	463	1916799831	200	97599
464	464	1916806955	200	89857
465	465	1916826493	200	100730
466	466	1916839417	200	97834
467	467	1916839563	200	94561
468	468	1916839693	200	93590
469	469	1916841945	200	97038
470	470	1916848361	200	97920
471	471	1916851047	200	97385
472	472	1916851101	200	98736
473	473	1916853401	200	94222
474	474	1916876035	200	94600
475	475	1916886271	200	95279
476	476	1916890097	200	97933
477	477	1916928049	200	91201
478	478	1916950707	200	91560
479	479	1916953471	200	91027
480	480	1916953511	200	91427
481	481	1916960923	200	78814
482	482	1916960963	200	92634
483	483	1916963361	200	91684
484	484	1916979721	200	88789
485	485	1916979761	200	88948
486	486	1916979867	200	92857
487	487	1916985649	200	92155
488	488	1916993819	200	97416
489	489	1917051595	200	96311
490	490	1917090609	200	94308
491	491	1917090649	200	95650
492	492	1917113553	200	99254
493	493	1917117061	200	96952
494	494	1917127947	200	93118
495	495	1917127965	200	93051
496	496	1917135745	200	90432
497	497	1917156081	200	94298
498	498	1917156085	200	93403
499	499	1917164581	200	89442
500	500	1917222603	200	97651
501	501	1917223853	200	98231
502	502	1917224803	200	89407
503	503	1917226409	200	95510
504	504	1917234721	200	93701
505	505	1917234733	200	80852
506	506	1917234735	200	92257
507	507	1917236677	200	96772
508	508	1917262575	200	96473
509	509	1917264941	200	94279
510	510	1917270253	200	99269
511	511	1917270377	200	97730
512	512	1917274053	200	94703
513	513	1917274303	200	96833
514	514	1917283179	200	82591
515	515	1917283201	200	95844
516	516	1917283203	200	96246
517	517	1917285809	200	93402
518	518	1917286433	200	100598
519	519	1917287245	200	100401
520	520	1917290085	200	81971
521	521	1917292473	200	97938
522	522	1917292719	200	96015
523	523	1917296313	200	98941
524	524	1917297949	200	94204
525	525	1917306469	200	99555
526	526	1917306495	200	99483
527	527	1917313507	200	100353
528	528	1917313759	200	97017
529	529	1917314595	200	99033
530	530	1917319237	200	90694
531	531	1917319239	200	90726
532	532	1917323039	200	100111
533	533	1917323261	200	100032
534	534	1917323663	200	98439
535	535	1917331957	200	98976
536	536	1917336245	200	96315
537	537	1917353635	200	95946
538	538	1917355515	200	94918
539	539	1917360113	200	94135
540	540	1917361257	200	98608
541	541	1917397267	200	96881
542	542	1917397797	200	93574
543	543	1917422287	200	98043
544	544	1917422655	200	97304
545	545	1917424693	200	98853
546	546	1917438027	200	98419
547	547	1917449509	200	96108
548	548	1917451219	200	99065
549	549	1917466677	200	97668
550	550	1917471137	200	94141
551	551	1917476571	200	95879
552	552	1917477349	200	92996
553	553	1917494641	200	97251
554	554	1917495897	200	95230
555	555	1917505153	200	98022
556	556	1917507709	200	94425
557	557	1917509563	200	91256
558	558	1917509565	200	90850
559	559	1917509567	200	90866
560	560	1917510401	200	95453
561	561	1917517073	200	93863
562	562	1917526569	200	96045
563	563	1917526571	200	96362
564	564	1917527021	200	95741
565	565	1917528385	200	95917
566	566	1917529961	200	92900
567	567	1917535065	200	98082
568	568	1917540453	200	97324
569	569	1917544299	200	96129
570	570	1917549241	200	90688
571	571	1917550691	200	93403
572	572	1917559067	200	92224
573	573	1917582017	200	96328
574	574	1917587297	200	94702
575	575	1917593741	200	96794
576	576	1917597957	200	95024
577	577	1917598165	200	94933
578	578	1917604561	200	98508
579	579	1917609027	200	98556
580	580	1917627153	200	96008
581	581	1917632255	200	96752
582	582	1917632303	200	97322
583	583	1917632463	200	90206
584	584	1917632729	200	95853
585	585	1917633279	200	91671
586	586	1917638511	200	97844
587	587	1917639491	200	97668
588	588	1917639549	200	98190
589	589	1917650215	200	96112
590	590	1917651405	200	95138
591	591	1917651407	200	96332
592	592	1917655633	200	96373
593	593	1917657975	200	98579
594	594	1917660619	200	94971
595	595	1917660621	200	94021
596	596	1917666861	200	92386
597	597	1917670477	200	98354
598	598	1917678675	200	97659
599	599	1917681455	200	97001
600	600	1917682317	200	99589
601	601	1917683503	200	100348
602	602	1917686677	200	98224
